t_s,scene_main.in,lfo_a.out,lfo_b.out
0.000000,0.000000,0.503267,1.299160
0.010000,0.198720,0.506534,1.298320
0.020000,0.108979,0.509801,1.297480
0.030000,0.275393,0.513067,1.296640
0.040000,0.174021,0.516332,1.295800
0.050000,-0.235720,0.519596,1.294960
0.060000,-0.448784,0.522858,1.294120
0.070000,-0.504274,0.526119,1.293280
0.080000,-0.577401,0.529379,1.292440
0.090000,-0.533197,0.532636,1.291600
0.100000,0.163966,0.535891,1.290760
0.110000,-0.160498,0.539144,1.289920
0.120000,0.287762,0.542395,1.289080
0.130000,0.591292,0.545642,1.288240
0.140000,1.129693,0.548886,1.287400
0.150000,0.623754,0.552127,1.286560
0.160000,0.785896,0.555365,1.285720
0.170000,0.202284,0.558599,1.284880
0.180000,-0.719837,0.561829,1.284040
0.190000,-0.956149,0.565055,1.283200
0.200000,-1.117582,0.568276,1.282360
0.210000,-0.510709,0.571493,1.281520
0.220000,-0.832873,0.574706,1.280680
0.230000,0.538322,0.577913,1.279840
0.240000,0.720208,0.581115,1.279000
0.250000,0.466528,0.584312,1.278160
0.260000,0.052702,0.587503,1.277320
0.270000,0.740084,0.590688,1.276480
0.280000,0.082894,0.593867,1.275640
0.290000,-0.073488,0.597040,1.274800
0.300000,0.433375,0.600206,1.273960
0.310000,0.183857,0.603366,1.273120
0.320000,-0.316173,0.606519,1.272280
0.330000,-0.208626,0.609664,1.271440
0.340000,0.243122,0.612803,1.270600
0.350000,-0.234826,0.615933,1.269760
0.360000,-0.369903,0.619057,1.268920
0.370000,0.148031,0.622172,1.268080
0.380000,-0.557426,0.625279,1.267240
0.390000,-0.776002,0.628377,1.266400
0.400000,-0.786982,0.631468,1.265560
0.410000,0.152844,0.634549,1.264720
0.420000,0.153135,0.637621,1.263880
0.430000,1.072561,0.640684,1.263040
0.440000,1.392647,0.643738,1.262200
0.450000,1.259742,0.646782,1.261360
0.460000,0.487377,0.649817,1.260520
0.470000,-0.114935,0.652841,1.259680
0.480000,-0.487814,0.655855,1.258840
0.490000,-1.136574,0.658859,1.258000
0.500000,-0.577306,0.661852,1.257160
0.510000,-0.820907,0.664835,1.256320
0.520000,-0.356851,0.667806,1.255480
0.530000,-0.348111,0.670766,1.254640
0.540000,0.324217,0.673715,1.253800
0.550000,0.124184,0.676652,1.252960
0.560000,0.626940,0.679578,1.252120
0.570000,0.545466,0.682491,1.251280
0.580000,0.392572,0.685393,1.250440
0.590000,-0.014821,0.688282,1.249600
0.600000,0.105031,0.691158,1.248760
0.610000,-0.126557,0.694022,1.247920
0.620000,-0.176404,0.696872,1.247080
0.630000,0.364819,0.699710,1.246240
0.640000,0.915339,0.702534,1.245400
0.650000,-0.138646,0.705345,1.244560
0.660000,0.123134,0.708142,1.243720
0.670000,-0.628023,0.710925,1.242880
0.680000,-0.949220,0.713694,1.242040
0.690000,-1.398011,0.716449,1.241200
0.700000,-0.019184,0.719189,1.240360
0.710000,-0.253839,0.721915,1.239520
0.720000,0.463019,0.724625,1.238680
0.730000,0.813373,0.727321,1.237840
0.740000,1.700206,0.730002,1.237000
0.750000,0.467249,0.732668,1.236160
0.760000,0.403623,0.735317,1.235320
0.770000,0.322534,0.737952,1.234480
0.780000,-0.328106,0.740570,1.233640
0.790000,-1.061784,0.743172,1.232800
0.800000,-0.800606,0.745758,1.231960
0.810000,-0.608276,0.748328,1.231120
0.820000,-0.975728,0.750881,1.230280
0.830000,-0.378085,0.753417,1.229440
0.840000,0.671175,0.755937,1.228600
0.850000,0.436173,0.758439,1.227760
0.860000,0.513386,0.760924,1.226920
0.870000,0.609435,0.763392,1.226080
0.880000,0.310163,0.765842,1.225240
0.890000,-0.335554,0.768274,1.224400
0.900000,0.104910,0.770689,1.223560
0.910000,-0.004362,0.773085,1.222720
0.920000,0.150698,0.775463,1.221880
0.930000,0.348353,0.777823,1.221040
0.940000,0.491479,0.780164,1.220200
0.950000,0.090182,0.782487,1.219360
0.960000,-0.704650,0.784791,1.218520
0.970000,-0.730918,0.787076,1.217680
0.980000,-0.975863,0.789341,1.216840
0.990000,-0.769582,0.791587,1.216000
1.000000,-0.680737,0.793814,1.215160
1.010000,0.259449,0.796022,1.214320
1.020000,0.458029,0.798209,1.213480
1.030000,1.061721,0.800377,1.212640
1.040000,1.015695,0.802524,1.211800
1.050000,0.903292,0.804652,1.210960
1.060000,0.741106,0.806759,1.210120
1.070000,0.492435,0.808845,1.209280
1.080000,-0.464216,0.810911,1.208440
1.090000,-0.814687,0.812956,1.207600
1.100000,-0.685458,0.814981,1.206760
1.110000,-0.938646,0.816984,1.205920
1.120000,-1.161796,0.818966,1.205080
1.130000,-0.059550,0.820927,1.204240
1.140000,0.372227,0.822867,1.203400
1.150000,0.175896,0.824785,1.202560
1.160000,0.327033,0.826681,1.201720
1.170000,0.543147,0.828555,1.200880
1.180000,-0.139210,0.830408,1.200040
1.190000,-0.155518,0.832238,1.199200
1.200000,0.349159,0.834047,1.198360
1.210000,0.542904,0.835833,1.197520
1.220000,0.282615,0.837596,1.196680
1.230000,0.540373,0.839338,1.195840
1.240000,0.689702,0.841056,1.195000
1.250000,-0.375749,0.842752,1.194160
1.260000,-0.615689,0.844425,1.193320
1.270000,-0.480834,0.846075,1.192480
1.280000,-0.727172,0.847701,1.191640
